ID,DATE,COD_ACCOUNT,ACCOUNT,Short_CLASS,CLASS,REVENUE/EXPENSES,BUDGET
111,31-05-2022,60100,60100 Advertising & Marketing,S&M,Sales & Marketing,EXPENSES,19000
112,31-05-2022,60810,60810 Salary & Wages,S&M,Sales & Marketing,EXPENSES,6700
113,31-05-2022,61010,61010 Lodging,S&M,Sales & Marketing,EXPENSES,2000
114,31-05-2022,61020,61020 Meals & Entertainment,S&M,Sales & Marketing,EXPENSES,500
115,31-05-2022,61030,61030 Travel,S&M,Sales & Marketing,EXPENSES,1000
116,30-06-2022,40200,40200 Product Revenue,G&A,General & Administrative,REVENUE,82500
117,30-06-2022,40100,40100 SaaS Revenue,G&A,General & Administrative,REVENUE,85000
118,30-06-2022,50100,50100 Web Domain & Hosting Fees,G&A,General & Administrative,EXPENSES,4250
119,30-06-2022,50210,50210 Product Costs,G&A,General & Administrative,EXPENSES,6700
120,30-06-2022,60100,60100 Advertising & Marketing,G&A,General & Administrative,EXPENSES,14500
121,30-06-2022,60810,60810 Salary & Wages,G&A,General & Administrative,EXPENSES,16000
122,30-06-2022,60820,60820 Payroll Taxes,G&A,General & Administrative,EXPENSES,1280
123,30-06-2022,60830,60830 Health Insurance,G&A,General & Administrative,EXPENSES,1600
124,30-06-2022,60840,60840 Payroll Processing Fees,G&A,General & Administrative,EXPENSES,400
125,30-06-2022,60710,60710 Accounting Fees,G&A,General & Administrative,EXPENSES,5000
126,30-06-2022,60720,60720 Consulting Fees,G&A,General & Administrative,EXPENSES,8000
127,30-06-2022,60730,60730 Legal Fees,G&A,General & Administrative,EXPENSES,5200
128,30-06-2022,60740,60740 Recruiting Fees,G&A,General & Administrative,EXPENSES,7800
129,30-06-2022,61010,61010 Lodging,G&A,General & Administrative,EXPENSES,2800
130,30-06-2022,70100,70100 Interest Income,G&A,General & Administrative,REVENUE,660
131,30-06-2022,80100,80100 Depreciation Expense,G&A,General & Administrative,EXPENSES,1600
132,30-06-2022,80200,80200 Interest Expense,G&A,General & Administrative,EXPENSES,1000
133,30-06-2022,60400,60400 Dues & Subscriptions,R&D,Research & Development,EXPENSES,1000
134,30-06-2022,60100,60100 Advertising & Marketing,S&M,Sales & Marketing,EXPENSES,20000
135,30-06-2022,60810,60810 Salary & Wages,S&M,Sales & Marketing,EXPENSES,6750
136,30-06-2022,61010,61010 Lodging,S&M,Sales & Marketing,EXPENSES,2000
137,30-06-2022,61020,61020 Meals & Entertainment,S&M,Sales & Marketing,EXPENSES,500
138,30-06-2022,61030,61030 Travel,S&M,Sales & Marketing,EXPENSES,1000
139,31-07-2022,60810,60810 Salary & Wages,CS,Customer Support,EXPENSES,55000
140,31-07-2022,60820,60820 Payroll Taxes,CS,Customer Support,EXPENSES,4400
141,31-07-2022,60830,60830 Health Insurance,CS,Customer Support,EXPENSES,5500
142,31-07-2022,60840,60840 Payroll Processing Fees,CS,Customer Support,EXPENSES,1375
143,31-07-2022,40200,40200 Product Revenue,G&A,General & Administrative,REVENUE,85000
144,31-07-2022,40100,40100 SaaS Revenue,G&A,General & Administrative,REVENUE,200000
145,31-07-2022,50210,50210 Product Costs,G&A,General & Administrative,EXPENSES,50000
146,31-07-2022,50100,50100 Web Domain & Hosting Fees,G&A,General & Administrative,EXPENSES,10000
147,31-07-2022,50200,50200 Merchant Account Fees,G&A,General & Administrative,EXPENSES,11400
148,31-07-2022,60100,60100 Advertising & Marketing,G&A,General & Administrative,EXPENSES,24700
149,31-07-2022,60400,60400 Dues & Subscriptions,G&A,General & Administrative,EXPENSES,3700
150,31-07-2022,60500,60500 Insurance,G&A,General & Administrative,EXPENSES,4700
151,31-07-2022,60620,60620 Rent & Lease,G&A,General & Administrative,EXPENSES,15500
152,31-07-2022,60630,60630 Utilities,G&A,General & Administrative,EXPENSES,2600
153,31-07-2022,60810,60810 Salary & Wages,G&A,General & Administrative,EXPENSES,21000
154,31-07-2022,60820,60820 Payroll Taxes,G&A,General & Administrative,EXPENSES,1680
155,31-07-2022,60830,60830 Health Insurance,G&A,General & Administrative,EXPENSES,2100
156,31-07-2022,60840,60840 Payroll Processing Fees,G&A,General & Administrative,EXPENSES,525
157,31-07-2022,60850,60850 Commissions Expense,G&A,General & Administrative,EXPENSES,28500
158,31-07-2022,60710,60710 Accounting Fees,G&A,General & Administrative,EXPENSES,4650
159,31-07-2022,60720,60720 Consulting Fees,G&A,General & Administrative,EXPENSES,8000
160,31-07-2022,60730,60730 Legal Fees,G&A,General & Administrative,EXPENSES,5200
161,31-07-2022,60740,60740 Recruiting Fees,G&A,General & Administrative,EXPENSES,7800
162,31-07-2022,70100,70100 Interest Income,G&A,General & Administrative,REVENUE,1550
163,31-07-2022,80100,80100 Depreciation Expense,G&A,General & Administrative,EXPENSES,1600
164,31-07-2022,80200,80200 Interest Expense,G&A,General & Administrative,EXPENSES,2600
165,31-07-2022,60400,60400 Dues & Subscriptions,R&D,Research & Development,EXPENSES,1000
166,31-07-2022,60100,60100 Advertising & Marketing,S&M,Sales & Marketing,EXPENSES,21000
167,31-07-2022,60810,60810 Salary & Wages,S&M,Sales & Marketing,EXPENSES,67000
168,31-07-2022,60820,60820 Payroll Taxes,S&M,Sales & Marketing,EXPENSES,5360
169,31-07-2022,60830,60830 Health Insurance,S&M,Sales & Marketing,EXPENSES,6700
170,31-07-2022,60840,60840 Payroll Processing Fees,S&M,Sales & Marketing,EXPENSES,1675
171,31-07-2022,61010,61010 Lodging,S&M,Sales & Marketing,EXPENSES,2000
172,31-07-2022,61020,61020 Meals & Entertainment,S&M,Sales & Marketing,EXPENSES,500
173,31-07-2022,61030,61030 Travel,S&M,Sales & Marketing,EXPENSES,1000
174,31-08-2022,60810,60810 Salary & Wages,CS,Customer Support,EXPENSES,56500
175,31-08-2022,60820,60820 Payroll Taxes,CS,Customer Support,EXPENSES,4520
176,31-08-2022,60830,60830 Health Insurance,CS,Customer Support,EXPENSES,5650
177,31-08-2022,60840,60840 Payroll Processing Fees,CS,Customer Support,EXPENSES,1413
178,31-08-2022,40200,40200 Product Revenue,G&A,General & Administrative,REVENUE,87500
179,31-08-2022,40100,40100 SaaS Revenue,G&A,General & Administrative,REVENUE,200000
180,31-08-2022,50210,50210 Product Costs,G&A,General & Administrative,EXPENSES,50000
181,31-08-2022,50100,50100 Web Domain & Hosting Fees,G&A,General & Administrative,EXPENSES,10000
182,31-08-2022,50200,50200 Merchant Account Fees,G&A,General & Administrative,EXPENSES,11500
183,31-08-2022,60100,60100 Advertising & Marketing,G&A,General & Administrative,EXPENSES,25100
184,31-08-2022,60400,60400 Dues & Subscriptions,G&A,General & Administrative,EXPENSES,3700
185,31-08-2022,60500,60500 Insurance,G&A,General & Administrative,EXPENSES,4700
186,31-08-2022,60620,60620 Rent & Lease,G&A,General & Administrative,EXPENSES,15500
187,31-08-2022,60630,60630 Utilities,G&A,General & Administrative,EXPENSES,2650
188,31-08-2022,60810,60810 Salary & Wages,G&A,General & Administrative,EXPENSES,21000
189,31-08-2022,60820,60820 Payroll Taxes,G&A,General & Administrative,EXPENSES,1680
190,31-08-2022,60830,60830 Health Insurance,G&A,General & Administrative,EXPENSES,2100
191,31-08-2022,60840,60840 Payroll Processing Fees,G&A,General & Administrative,EXPENSES,525
192,31-08-2022,60850,60850 Commissions Expense,G&A,General & Administrative,EXPENSES,28500
193,31-08-2022,60710,60710 Accounting Fees,G&A,General & Administrative,EXPENSES,4650
194,31-08-2022,60720,60720 Consulting Fees,G&A,General & Administrative,EXPENSES,8000
195,31-08-2022,60730,60730 Legal Fees,G&A,General & Administrative,EXPENSES,5200
196,31-08-2022,60740,60740 Recruiting Fees,G&A,General & Administrative,EXPENSES,7800
197,31-08-2022,70100,70100 Interest Income,G&A,General & Administrative,REVENUE,1550
198,31-08-2022,80100,80100 Depreciation Expense,G&A,General & Administrative,EXPENSES,1600
199,31-08-2022,80200,80200 Interest Expense,G&A,General & Administrative,EXPENSES,2600
200,31-08-2022,60400,60400 Dues & Subscriptions,R&D,Research & Development,EXPENSES,1000
201,31-08-2022,60810,60810 Salary & Wages,R&D,Research & Development,EXPENSES,87500
202,31-08-2022,60820,60820 Payroll Taxes,R&D,Research & Development,EXPENSES,7000
203,31-08-2022,60830,60830 Health Insurance,R&D,Research & Development,EXPENSES,8750
204,31-08-2022,60840,60840 Payroll Processing Fees,R&D,Research & Development,EXPENSES,2188
205,31-08-2022,60100,60100 Advertising & Marketing,S&M,Sales & Marketing,EXPENSES,22000
206,31-08-2022,60810,60810 Salary & Wages,S&M,Sales & Marketing,EXPENSES,67000
207,31-08-2022,60820,60820 Payroll Taxes,S&M,Sales & Marketing,EXPENSES,5360
208,31-08-2022,60830,60830 Health Insurance,S&M,Sales & Marketing,EXPENSES,6700
209,31-08-2022,60840,60840 Payroll Processing Fees,S&M,Sales & Marketing,EXPENSES,1675
210,31-08-2022,61010,61010 Lodging,S&M,Sales & Marketing,EXPENSES,2000
211,31-08-2022,61020,61020 Meals & Entertainment,S&M,Sales & Marketing,EXPENSES,500
212,31-08-2022,61030,61030 Travel,S&M,Sales & Marketing,EXPENSES,1000
213,30-09-2022,60810,60810 Salary & Wages,CS,Customer Support,EXPENSES,56500
214,30-09-2022,60820,60820 Payroll Taxes,CS,Customer Support,EXPENSES,4520
215,30-09-2022,60830,60830 Health Insurance,CS,Customer Support,EXPENSES,5650
216,30-09-2022,60840,60840 Payroll Processing Fees,CS,Customer Support,EXPENSES,1413
217,30-09-2022,40200,40200 Product Revenue,G&A,General & Administrative,REVENUE,90000
218,30-09-2022,40100,40100 SaaS Revenue,G&A,General & Administrative,REVENUE,250000
219,30-09-2022,50210,50210 Product Costs,G&A,General & Administrative,EXPENSES,50000
220,30-09-2022,50100,50100 Web Domain & Hosting Fees,G&A,General & Administrative,EXPENSES,12500
221,30-09-2022,50200,50200 Merchant Account Fees,G&A,General & Administrative,EXPENSES,13600
222,30-09-2022,60100,60100 Advertising & Marketing,G&A,General & Administrative,EXPENSES,25700
223,30-09-2022,60400,60400 Dues & Subscriptions,G&A,General & Administrative,EXPENSES,3700
224,30-09-2022,60500,60500 Insurance,G&A,General & Administrative,EXPENSES,4700
225,30-09-2022,60620,60620 Rent & Lease,G&A,General & Administrative,EXPENSES,15500
226,30-09-2022,60630,60630 Utilities,G&A,General & Administrative,EXPENSES,2700
227,30-09-2022,60810,60810 Salary & Wages,G&A,General & Administrative,EXPENSES,21000
228,30-09-2022,60820,60820 Payroll Taxes,G&A,General & Administrative,EXPENSES,1680
229,30-09-2022,60830,60830 Health Insurance,G&A,General & Administrative,EXPENSES,2100
230,30-09-2022,60840,60840 Payroll Processing Fees,G&A,General & Administrative,EXPENSES,525
231,30-09-2022,60850,60850 Commissions Expense,G&A,General & Administrative,EXPENSES,29800
232,30-09-2022,60710,60710 Accounting Fees,G&A,General & Administrative,EXPENSES,4650
233,30-09-2022,60720,60720 Consulting Fees,G&A,General & Administrative,EXPENSES,8000
234,30-09-2022,60730,60730 Legal Fees,G&A,General & Administrative,EXPENSES,5200
235,30-09-2022,60740,60740 Recruiting Fees,G&A,General & Administrative,EXPENSES,7800
236,30-09-2022,70100,70100 Interest Income,G&A,General & Administrative,REVENUE,1550
237,30-09-2022,80100,80100 Depreciation Expense,G&A,General & Administrative,EXPENSES,1600
238,30-09-2022,80200,80200 Interest Expense,G&A,General & Administrative,EXPENSES,2600
239,30-09-2022,60400,60400 Dues & Subscriptions,R&D,Research & Development,EXPENSES,1000
240,30-09-2022,60810,60810 Salary & Wages,R&D,Research & Development,EXPENSES,87500
241,30-09-2022,60820,60820 Payroll Taxes,R&D,Research & Development,EXPENSES,7000
242,30-09-2022,60830,60830 Health Insurance,R&D,Research & Development,EXPENSES,8750
243,30-09-2022,60840,60840 Payroll Processing Fees,R&D,Research & Development,EXPENSES,2188
244,30-09-2022,60100,60100 Advertising & Marketing,S&M,Sales & Marketing,EXPENSES,23000
245,30-09-2022,60810,60810 Salary & Wages,S&M,Sales & Marketing,EXPENSES,67000
246,30-09-2022,60820,60820 Payroll Taxes,S&M,Sales & Marketing,EXPENSES,5360
247,30-09-2022,60830,60830 Health Insurance,S&M,Sales & Marketing,EXPENSES,6700
248,30-09-2022,60840,60840 Payroll Processing Fees,S&M,Sales & Marketing,EXPENSES,1675
249,30-09-2022,61010,61010 Lodging,S&M,Sales & Marketing,EXPENSES,2000
250,30-09-2022,61020,61020 Meals & Entertainment,S&M,Sales & Marketing,EXPENSES,500
251,30-09-2022,61030,61030 Travel,S&M,Sales & Marketing,EXPENSES,1000
252,31-10-2022,60810,60810 Salary & Wages,CS,Customer Support,EXPENSES,57500
253,31-10-2022,60820,60820 Payroll Taxes,CS,Customer Support,EXPENSES,4600
254,31-10-2022,60830,60830 Health Insurance,CS,Customer Support,EXPENSES,5750
255,31-10-2022,60840,60840 Payroll Processing Fees,CS,Customer Support,EXPENSES,1438
256,31-10-2022,40200,40200 Product Revenue,G&A,General & Administrative,REVENUE,92500
257,31-10-2022,40100,40100 SaaS Revenue,G&A,General & Administrative,REVENUE,250000
258,31-10-2022,50210,50210 Product Costs,G&A,General & Administrative,EXPENSES,55000
259,31-10-2022,50100,50100 Web Domain & Hosting Fees,G&A,General & Administrative,EXPENSES,12500
260,31-10-2022,50200,50200 Merchant Account Fees,G&A,General & Administrative,EXPENSES,13700
261,31-10-2022,60100,60100 Advertising & Marketing,G&A,General & Administrative,EXPENSES,28700
262,31-10-2022,60400,60400 Dues & Subscriptions,G&A,General & Administrative,EXPENSES,3700
263,31-10-2022,60500,60500 Insurance,G&A,General & Administrative,EXPENSES,4700
264,31-10-2022,60620,60620 Rent & Lease,G&A,General & Administrative,EXPENSES,15500
265,31-10-2022,60630,60630 Utilities,G&A,General & Administrative,EXPENSES,2800
266,31-10-2022,60810,60810 Salary & Wages,G&A,General & Administrative,EXPENSES,26000
267,31-10-2022,60820,60820 Payroll Taxes,G&A,General & Administrative,EXPENSES,2080
268,31-10-2022,60830,60830 Health Insurance,G&A,General & Administrative,EXPENSES,2600
269,31-10-2022,60840,60840 Payroll Processing Fees,G&A,General & Administrative,EXPENSES,650
270,31-10-2022,60850,60850 Commissions Expense,G&A,General & Administrative,EXPENSES,31500
271,31-10-2022,60710,60710 Accounting Fees,G&A,General & Administrative,EXPENSES,4650
272,31-10-2022,60720,60720 Consulting Fees,G&A,General & Administrative,EXPENSES,8000
273,31-10-2022,60730,60730 Legal Fees,G&A,General & Administrative,EXPENSES,5200
274,31-10-2022,60740,60740 Recruiting Fees,G&A,General & Administrative,EXPENSES,7800
275,31-10-2022,70100,70100 Interest Income,G&A,General & Administrative,REVENUE,1600
276,31-10-2022,80100,80100 Depreciation Expense,G&A,General & Administrative,EXPENSES,1600
277,31-10-2022,80200,80200 Interest Expense,G&A,General & Administrative,EXPENSES,2600
278,31-10-2022,60400,60400 Dues & Subscriptions,R&D,Research & Development,EXPENSES,1000
279,31-10-2022,60810,60810 Salary & Wages,R&D,Research & Development,EXPENSES,87500
280,31-10-2022,60820,60820 Payroll Taxes,R&D,Research & Development,EXPENSES,7000
281,31-10-2022,60830,60830 Health Insurance,R&D,Research & Development,EXPENSES,8750
282,31-10-2022,60840,60840 Payroll Processing Fees,R&D,Research & Development,EXPENSES,2188
283,31-10-2022,60100,60100 Advertising & Marketing,S&M,Sales & Marketing,EXPENSES,24000
284,31-10-2022,60810,60810 Salary & Wages,S&M,Sales & Marketing,EXPENSES,68000
285,31-10-2022,60820,60820 Payroll Taxes,S&M,Sales & Marketing,EXPENSES,5440
286,31-10-2022,60830,60830 Health Insurance,S&M,Sales & Marketing,EXPENSES,6800
287,31-10-2022,60840,60840 Payroll Processing Fees,S&M,Sales & Marketing,EXPENSES,1700
288,31-10-2022,61010,61010 Lodging,S&M,Sales & Marketing,EXPENSES,2000
289,31-10-2022,61020,61020 Meals & Entertainment,S&M,Sales & Marketing,EXPENSES,500
290,31-10-2022,61030,61030 Travel,S&M,Sales & Marketing,EXPENSES,1000
291,30-11-2022,60810,60810 Salary & Wages,CS,Customer Support,EXPENSES,57500
292,30-11-2022,60820,60820 Payroll Taxes,CS,Customer Support,EXPENSES,4600
293,30-11-2022,60830,60830 Health Insurance,CS,Customer Support,EXPENSES,5750
294,30-11-2022,60840,60840 Payroll Processing Fees,CS,Customer Support,EXPENSES,1438
295,30-11-2022,40200,40200 Product Revenue,G&A,General & Administrative,REVENUE,95000
296,30-11-2022,40100,40100 SaaS Revenue,G&A,General & Administrative,REVENUE,275000
297,30-11-2022,50210,50210 Product Costs,G&A,General & Administrative,EXPENSES,55000
298,30-11-2022,50100,50100 Web Domain & Hosting Fees,G&A,General & Administrative,EXPENSES,13750
299,30-11-2022,50200,50200 Merchant Account Fees,G&A,General & Administrative,EXPENSES,14800
300,30-11-2022,60100,60100 Advertising & Marketing,G&A,General & Administrative,EXPENSES,33500
301,30-11-2022,60400,60400 Dues & Subscriptions,G&A,General & Administrative,EXPENSES,3700
302,30-11-2022,60500,60500 Insurance,G&A,General & Administrative,EXPENSES,4700
303,30-11-2022,60620,60620 Rent & Lease,G&A,General & Administrative,EXPENSES,15500
304,30-11-2022,60630,60630 Utilities,G&A,General & Administrative,EXPENSES,2900
305,30-11-2022,60810,60810 Salary & Wages,G&A,General & Administrative,EXPENSES,26000
306,30-11-2022,60820,60820 Payroll Taxes,G&A,General & Administrative,EXPENSES,2080
307,30-11-2022,60830,60830 Health Insurance,G&A,General & Administrative,EXPENSES,2600
308,30-11-2022,60840,60840 Payroll Processing Fees,G&A,General & Administrative,EXPENSES,650
309,30-11-2022,60850,60850 Commissions Expense,G&A,General & Administrative,EXPENSES,33500
310,30-11-2022,60710,60710 Accounting Fees,G&A,General & Administrative,EXPENSES,4650
311,30-11-2022,60720,60720 Consulting Fees,G&A,General & Administrative,EXPENSES,8000
312,30-11-2022,60730,60730 Legal Fees,G&A,General & Administrative,EXPENSES,5200
313,30-11-2022,60740,60740 Recruiting Fees,G&A,General & Administrative,EXPENSES,7800
