id,date,cod_account,account,short_class,class,revenueexpenses,budget
53,2022-03-31,60820,60820 Payroll Taxes,G&A,General & Administrative,EXPENSES,880
54,2022-03-31,60830,60830 Health Insurance,G&A,General & Administrative,EXPENSES,1100
55,2022-03-31,60840,60840 Payroll Processing Fees,G&A,General & Administrative,EXPENSES,275
56,2022-03-31,60710,60710 Accounting Fees,G&A,General & Administrative,EXPENSES,4700
57,2022-03-31,60720,60720 Consulting Fees,G&A,General & Administrative,EXPENSES,8000
58,2022-03-31,60730,60730 Legal Fees,G&A,General & Administrative,EXPENSES,5200
59,2022-03-31,60740,60740 Recruiting Fees,G&A,General & Administrative,EXPENSES,7800
60,2022-03-31,61010,61010 Lodging,G&A,General & Administrative,EXPENSES,2650
61,2022-03-31,70100,70100 Interest Income,G&A,General & Administrative,REVENUE,600
62,2022-03-31,80100,80100 Depreciation Expense,G&A,General & Administrative,EXPENSES,1500
63,2022-03-31,80200,80200 Interest Expense,G&A,General & Administrative,EXPENSES,1000
64,2022-03-31,60400,60400 Dues & Subscriptions,R&D,Research & Development,EXPENSES,1000
65,2022-03-31,60100,60100 Advertising & Marketing,S&M,Sales & Marketing,EXPENSES,17000
66,2022-03-31,60810,60810 Salary & Wages,S&M,Sales & Marketing,EXPENSES,6600
67,2022-03-31,61010,61010 Lodging,S&M,Sales & Marketing,EXPENSES,2000
68,2022-03-31,61020,61020 Meals & Entertainment,S&M,Sales & Marketing,EXPENSES,500
69,2022-03-31,61030,61030 Travel,S&M,Sales & Marketing,EXPENSES,1000
70,2022-04-30,40200,40200 Product Revenue,G&A,General & Administrative,REVENUE,77500
71,2022-04-30,40100,40100 SaaS Revenue,G&A,General & Administrative,REVENUE,85000
72,2022-04-30,50100,50100 Web Domain & Hosting Fees,G&A,General & Administrative,EXPENSES,4250
73,2022-04-30,50210,50210 Product Costs,G&A,General & Administrative,EXPENSES,6500
74,2022-04-30,60100,60100 Advertising & Marketing,G&A,General & Administrative,EXPENSES,14100
75,2022-04-30,60810,60810 Salary & Wages,G&A,General & Administrative,EXPENSES,16000
76,2022-04-30,60820,60820 Payroll Taxes,G&A,General & Administrative,EXPENSES,1280
77,2022-04-30,60830,60830 Health Insurance,G&A,General & Administrative,EXPENSES,1600
78,2022-04-30,60840,60840 Payroll Processing Fees,G&A,General & Administrative,EXPENSES,400
79,2022-04-30,60710,60710 Accounting Fees,G&A,General & Administrative,EXPENSES,4800
80,2022-04-30,60720,60720 Consulting Fees,G&A,General & Administrative,EXPENSES,8000
81,2022-04-30,60730,60730 Legal Fees,G&A,General & Administrative,EXPENSES,5200
82,2022-04-30,60740,60740 Recruiting Fees,G&A,General & Administrative,EXPENSES,7800
83,2022-04-30,61010,61010 Lodging,G&A,General & Administrative,EXPENSES,2700
84,2022-04-30,70100,70100 Interest Income,G&A,General & Administrative,REVENUE,620
85,2022-04-30,80100,80100 Depreciation Expense,G&A,General & Administrative,EXPENSES,1500
86,2022-04-30,80200,80200 Interest Expense,G&A,General & Administrative,EXPENSES,1000
87,2022-04-30,60400,60400 Dues & Subscriptions,R&D,Research & Development,EXPENSES,1000
88,2022-04-30,60100,60100 Advertising & Marketing,S&M,Sales & Marketing,EXPENSES,18000
89,2022-04-30,60810,60810 Salary & Wages,S&M,Sales & Marketing,EXPENSES,6650
90,2022-04-30,61010,61010 Lodging,S&M,Sales & Marketing,EXPENSES,2000
91,2022-04-30,61020,61020 Meals & Entertainment,S&M,Sales & Marketing,EXPENSES,500
92,2022-04-30,61030,61030 Travel,S&M,Sales & Marketing,EXPENSES,1000
93,2022-05-31,40200,40200 Product Revenue,G&A,General & Administrative,REVENUE,80000
94,2022-05-31,40100,40100 SaaS Revenue,G&A,General & Administrative,REVENUE,85000
95,2022-05-31,50100,50100 Web Domain & Hosting Fees,G&A,General & Administrative,EXPENSES,4250
96,2022-05-31,50210,50210 Product Costs,G&A,General & Administrative,EXPENSES,6600
97,2022-05-31,60100,60100 Advertising & Marketing,G&A,General & Administrative,EXPENSES,14300
98,2022-05-31,60810,60810 Salary & Wages,G&A,General & Administrative,EXPENSES,16000
99,2022-05-31,60820,60820 Payroll Taxes,G&A,General & Administrative,EXPENSES,1280
100,2022-05-31,60830,60830 Health Insurance,G&A,General & Administrative,EXPENSES,1600
101,2022-05-31,60840,60840 Payroll Processing Fees,G&A,General & Administrative,EXPENSES,400
102,2022-05-31,60710,60710 Accounting Fees,G&A,General & Administrative,EXPENSES,4900
103,2022-05-31,60720,60720 Consulting Fees,G&A,General & Administrative,EXPENSES,8000
104,2022-05-31,60730,60730 Legal Fees,G&A,General & Administrative,EXPENSES,5200
105,2022-05-31,60740,60740 Recruiting Fees,G&A,General & Administrative,EXPENSES,7800
106,2022-05-31,61010,61010 Lodging,G&A,General & Administrative,EXPENSES,2750
107,2022-05-31,70100,70100 Interest Income,G&A,General & Administrative,REVENUE,640
108,2022-05-31,80100,80100 Depreciation Expense,G&A,General & Administrative,EXPENSES,1500
109,2022-05-31,80200,80200 Interest Expense,G&A,General & Administrative,EXPENSES,1000
110,2022-05-31,60400,60400 Dues & Subscriptions,R&D,Research & Development,EXPENSES,1000
111,2022-05-31,60100,60100 Advertising & Marketing,S&M,Sales & Marketing,EXPENSES,19000
112,2022-05-31,60810,60810 Salary & Wages,S&M,Sales & Marketing,EXPENSES,6700
113,2022-05-31,61010,61010 Lodging,S&M,Sales & Marketing,EXPENSES,2000
114,2022-05-31,61020,61020 Meals & Entertainment,S&M,Sales & Marketing,EXPENSES,500
115,2022-05-31,61030,61030 Travel,S&M,Sales & Marketing,EXPENSES,1000
116,2022-06-30,40200,40200 Product Revenue,G&A,General & Administrative,REVENUE,82500
117,2022-06-30,40100,40100 SaaS Revenue,G&A,General & Administrative,REVENUE,85000
118,2022-06-30,50100,50100 Web Domain & Hosting Fees,G&A,General & Administrative,EXPENSES,4250
119,2022-06-30,50210,50210 Product Costs,G&A,General & Administrative,EXPENSES,6700
120,2022-06-30,60100,60100 Advertising & Marketing,G&A,General & Administrative,EXPENSES,14500
121,2022-06-30,60810,60810 Salary & Wages,G&A,General & Administrative,EXPENSES,16000
122,2022-06-30,60820,60820 Payroll Taxes,G&A,General & Administrative,EXPENSES,1280
123,2022-06-30,60830,60830 Health Insurance,G&A,General & Administrative,EXPENSES,1600
124,2022-06-30,60840,60840 Payroll Processing Fees,G&A,General & Administrative,EXPENSES,400
125,2022-06-30,60710,60710 Accounting Fees,G&A,General & Administrative,EXPENSES,5000
126,2022-06-30,60720,60720 Consulting Fees,G&A,General & Administrative,EXPENSES,8000
127,2022-06-30,60730,60730 Legal Fees,G&A,General & Administrative,EXPENSES,5200
128,2022-06-30,60740,60740 Recruiting Fees,G&A,General & Administrative,EXPENSES,7800
129,2022-06-30,61010,61010 Lodging,G&A,General & Administrative,EXPENSES,2800
130,2022-06-30,70100,70100 Interest Income,G&A,General & Administrative,REVENUE,660
131,2022-06-30,80100,80100 Depreciation Expense,G&A,General & Administrative,EXPENSES,1600
132,2022-06-30,80200,80200 Interest Expense,G&A,General & Administrative,EXPENSES,1000
133,2022-06-30,60400,60400 Dues & Subscriptions,R&D,Research & Development,EXPENSES,1000
134,2022-06-30,60100,60100 Advertising & Marketing,S&M,Sales & Marketing,EXPENSES,20000
135,2022-06-30,60810,60810 Salary & Wages,S&M,Sales & Marketing,EXPENSES,6750
136,2022-06-30,61010,61010 Lodging,S&M,Sales & Marketing,EXPENSES,2000
137,2022-06-30,61020,61020 Meals & Entertainment,S&M,Sales & Marketing,EXPENSES,500
138,2022-06-30,61030,61030 Travel,S&M,Sales & Marketing,EXPENSES,1000
139,2022-07-31,60810,60810 Salary & Wages,CS,Customer Support,EXPENSES,55000
140,2022-07-31,60820,60820 Payroll Taxes,CS,Customer Support,EXPENSES,4400
141,2022-07-31,60830,60830 Health Insurance,CS,Customer Support,EXPENSES,5500
142,2022-07-31,60840,60840 Payroll Processing Fees,CS,Customer Support,EXPENSES,1375
143,2022-07-31,40200,40200 Product Revenue,G&A,General & Administrative,REVENUE,85000
144,2022-07-31,40100,40100 SaaS Revenue,G&A,General & Administrative,REVENUE,200000
145,2022-07-31,50210,50210 Product Costs,G&A,General & Administrative,EXPENSES,50000
146,2022-07-31,50100,50100 Web Domain & Hosting Fees,G&A,General & Administrative,EXPENSES,10000
147,2022-07-31,50200,50200 Merchant Account Fees,G&A,General & Administrative,EXPENSES,11400
148,2022-07-31,60100,60100 Advertising & Marketing,G&A,General & Administrative,EXPENSES,24700
149,2022-07-31,60400,60400 Dues & Subscriptions,G&A,General & Administrative,EXPENSES,3700
150,2022-07-31,60500,60500 Insurance,G&A,General & Administrative,EXPENSES,4700
151,2022-07-31,60620,60620 Rent & Lease,G&A,General & Administrative,EXPENSES,15500
152,2022-07-31,60630,60630 Utilities,G&A,General & Administrative,EXPENSES,2600
153,2022-07-31,60810,60810 Salary & Wages,G&A,General & Administrative,EXPENSES,21000
154,2022-07-31,60820,60820 Payroll Taxes,G&A,General & Administrative,EXPENSES,1680
155,2022-07-31,60830,60830 Health Insurance,G&A,General & Administrative,EXPENSES,2100
156,2022-07-31,60840,60840 Payroll Processing Fees,G&A,General & Administrative,EXPENSES,525
157,2022-07-31,60850,60850 Commissions Expense,G&A,General & Administrative,EXPENSES,28500
158,2022-07-31,60710,60710 Accounting Fees,G&A,General & Administrative,EXPENSES,4650
159,2022-07-31,60720,60720 Consulting Fees,G&A,General & Administrative,EXPENSES,8000
160,2022-07-31,60730,60730 Legal Fees,G&A,General & Administrative,EXPENSES,5200
161,2022-07-31,60740,60740 Recruiting Fees,G&A,General & Administrative,EXPENSES,7800
162,2022-07-31,70100,70100 Interest Income,G&A,General & Administrative,REVENUE,1550
163,2022-07-31,80100,80100 Depreciation Expense,G&A,General & Administrative,EXPENSES,1600
164,2022-07-31,80200,80200 Interest Expense,G&A,General & Administrative,EXPENSES,2600
165,2022-07-31,60400,60400 Dues & Subscriptions,R&D,Research & Development,EXPENSES,1000
166,2022-07-31,60100,60100 Advertising & Marketing,S&M,Sales & Marketing,EXPENSES,21000
167,2022-07-31,60810,60810 Salary & Wages,S&M,Sales & Marketing,EXPENSES,67000
168,2022-07-31,60820,60820 Payroll Taxes,S&M,Sales & Marketing,EXPENSES,5360
169,2022-07-31,60830,60830 Health Insurance,S&M,Sales & Marketing,EXPENSES,6700
170,2022-07-31,60840,60840 Payroll Processing Fees,S&M,Sales & Marketing,EXPENSES,1675
171,2022-07-31,61010,61010 Lodging,S&M,Sales & Marketing,EXPENSES,2000
172,2022-07-31,61020,61020 Meals & Entertainment,S&M,Sales & Marketing,EXPENSES,500
173,2022-07-31,61030,61030 Travel,S&M,Sales & Marketing,EXPENSES,1000
174,2022-08-31,60810,60810 Salary & Wages,CS,Customer Support,EXPENSES,56500
175,2022-08-31,60820,60820 Payroll Taxes,CS,Customer Support,EXPENSES,4520
176,2022-08-31,60830,60830 Health Insurance,CS,Customer Support,EXPENSES,5650
177,2022-08-31,60840,60840 Payroll Processing Fees,CS,Customer Support,EXPENSES,1413
178,2022-08-31,40200,40200 Product Revenue,G&A,General & Administrative,REVENUE,87500
179,2022-08-31,40100,40100 SaaS Revenue,G&A,General & Administrative,REVENUE,200000
180,2022-08-31,50210,50210 Product Costs,G&A,General & Administrative,EXPENSES,50000
181,2022-08-31,50100,50100 Web Domain & Hosting Fees,G&A,General & Administrative,EXPENSES,10000
182,2022-08-31,50200,50200 Merchant Account Fees,G&A,General & Administrative,EXPENSES,11500
183,2022-08-31,60100,60100 Advertising & Marketing,G&A,General & Administrative,EXPENSES,25100
184,2022-08-31,60400,60400 Dues & Subscriptions,G&A,General & Administrative,EXPENSES,3700
185,2022-08-31,60500,60500 Insurance,G&A,General & Administrative,EXPENSES,4700
186,2022-08-31,60620,60620 Rent & Lease,G&A,General & Administrative,EXPENSES,15500
187,2022-08-31,60630,60630 Utilities,G&A,General & Administrative,EXPENSES,2650
188,2022-08-31,60810,60810 Salary & Wages,G&A,General & Administrative,EXPENSES,21000
189,2022-08-31,60820,60820 Payroll Taxes,G&A,General & Administrative,EXPENSES,1680
190,2022-08-31,60830,60830 Health Insurance,G&A,General & Administrative,EXPENSES,2100
191,2022-08-31,60840,60840 Payroll Processing Fees,G&A,General & Administrative,EXPENSES,525
192,2022-08-31,60850,60850 Commissions Expense,G&A,General & Administrative,EXPENSES,28500
193,2022-08-31,60710,60710 Accounting Fees,G&A,General & Administrative,EXPENSES,4650
194,2022-08-31,60720,60720 Consulting Fees,G&A,General & Administrative,EXPENSES,8000
195,2022-08-31,60730,60730 Legal Fees,G&A,General & Administrative,EXPENSES,5200
196,2022-08-31,60740,60740 Recruiting Fees,G&A,General & Administrative,EXPENSES,7800
197,2022-08-31,70100,70100 Interest Income,G&A,General & Administrative,REVENUE,1550
198,2022-08-31,80100,80100 Depreciation Expense,G&A,General & Administrative,EXPENSES,1600
199,2022-08-31,80200,80200 Interest Expense,G&A,General & Administrative,EXPENSES,2600
200,2022-08-31,60400,60400 Dues & Subscriptions,R&D,Research & Development,EXPENSES,1000
201,2022-08-31,60810,60810 Salary & Wages,R&D,Research & Development,EXPENSES,87500
202,2022-08-31,60820,60820 Payroll Taxes,R&D,Research & Development,EXPENSES,7000
203,2022-08-31,60830,60830 Health Insurance,R&D,Research & Development,EXPENSES,8750
204,2022-08-31,60840,60840 Payroll Processing Fees,R&D,Research & Development,EXPENSES,2188
205,2022-08-31,60100,60100 Advertising & Marketing,S&M,Sales & Marketing,EXPENSES,22000
206,2022-08-31,60810,60810 Salary & Wages,S&M,Sales & Marketing,EXPENSES,67000
207,2022-08-31,60820,60820 Payroll Taxes,S&M,Sales & Marketing,EXPENSES,5360
208,2022-08-31,60830,60830 Health Insurance,S&M,Sales & Marketing,EXPENSES,6700
209,2022-08-31,60840,60840 Payroll Processing Fees,S&M,Sales & Marketing,EXPENSES,1675
210,2022-08-31,61010,61010 Lodging,S&M,Sales & Marketing,EXPENSES,2000
211,2022-08-31,61020,61020 Meals & Entertainment,S&M,Sales & Marketing,EXPENSES,500
212,2022-08-31,61030,61030 Travel,S&M,Sales & Marketing,EXPENSES,1000
213,2022-09-30,60810,60810 Salary & Wages,CS,Customer Support,EXPENSES,56500
214,2022-09-30,60820,60820 Payroll Taxes,CS,Customer Support,EXPENSES,4520
215,2022-09-30,60830,60830 Health Insurance,CS,Customer Support,EXPENSES,5650
216,2022-09-30,60840,60840 Payroll Processing Fees,CS,Customer Support,EXPENSES,1413
217,2022-09-30,40200,40200 Product Revenue,G&A,General & Administrative,REVENUE,90000
218,2022-09-30,40100,40100 SaaS Revenue,G&A,General & Administrative,REVENUE,250000
219,2022-09-30,50210,50210 Product Costs,G&A,General & Administrative,EXPENSES,50000
220,2022-09-30,50100,50100 Web Domain & Hosting Fees,G&A,General & Administrative,EXPENSES,12500
221,2022-09-30,50200,50200 Merchant Account Fees,G&A,General & Administrative,EXPENSES,13600
222,2022-09-30,60100,60100 Advertising & Marketing,G&A,General & Administrative,EXPENSES,25700
223,2022-09-30,60400,60400 Dues & Subscriptions,G&A,General & Administrative,EXPENSES,3700
224,2022-09-30,60500,60500 Insurance,G&A,General & Administrative,EXPENSES,4700
225,2022-09-30,60620,60620 Rent & Lease,G&A,General & Administrative,EXPENSES,15500
226,2022-09-30,60630,60630 Utilities,G&A,General & Administrative,EXPENSES,2700
227,2022-09-30,60810,60810 Salary & Wages,G&A,General & Administrative,EXPENSES,21000
228,2022-09-30,60820,60820 Payroll Taxes,G&A,General & Administrative,EXPENSES,1680
229,2022-09-30,60830,60830 Health Insurance,G&A,General & Administrative,EXPENSES,2100
230,2022-09-30,60840,60840 Payroll Processing Fees,G&A,General & Administrative,EXPENSES,525
231,2022-09-30,60850,60850 Commissions Expense,G&A,General & Administrative,EXPENSES,29800
232,2022-09-30,60710,60710 Accounting Fees,G&A,General & Administrative,EXPENSES,4650
233,2022-09-30,60720,60720 Consulting Fees,G&A,General & Administrative,EXPENSES,8000
234,2022-09-30,60730,60730 Legal Fees,G&A,General & Administrative,EXPENSES,5200
235,2022-09-30,60740,60740 Recruiting Fees,G&A,General & Administrative,EXPENSES,7800
236,2022-09-30,70100,70100 Interest Income,G&A,General & Administrative,REVENUE,1550
237,2022-09-30,80100,80100 Depreciation Expense,G&A,General & Administrative,EXPENSES,1600
238,2022-09-30,80200,80200 Interest Expense,G&A,General & Administrative,EXPENSES,2600
239,2022-09-30,60400,60400 Dues & Subscriptions,R&D,Research & Development,EXPENSES,1000
240,2022-09-30,60810,60810 Salary & Wages,R&D,Research & Development,EXPENSES,87500
241,2022-09-30,60820,60820 Payroll Taxes,R&D,Research & Development,EXPENSES,7000
242,2022-09-30,60830,60830 Health Insurance,R&D,Research & Development,EXPENSES,8750
243,2022-09-30,60840,60840 Payroll Processing Fees,R&D,Research & Development,EXPENSES,2188
244,2022-09-30,60100,60100 Advertising & Marketing,S&M,Sales & Marketing,EXPENSES,23000
245,2022-09-30,60810,60810 Salary & Wages,S&M,Sales & Marketing,EXPENSES,67000
246,2022-09-30,60820,60820 Payroll Taxes,S&M,Sales & Marketing,EXPENSES,5360
247,2022-09-30,60830,60830 Health Insurance,S&M,Sales & Marketing,EXPENSES,6700
248,2022-09-30,60840,60840 Payroll Processing Fees,S&M,Sales & Marketing,EXPENSES,1675
249,2022-09-30,61010,61010 Lodging,S&M,Sales & Marketing,EXPENSES,2000
250,2022-09-30,61020,61020 Meals & Entertainment,S&M,Sales & Marketing,EXPENSES,500
251,2022-09-30,61030,61030 Travel,S&M,Sales & Marketing,EXPENSES,1000
252,2022-10-31,60810,60810 Salary & Wages,CS,Customer Support,EXPENSES,57500
253,2022-10-31,60820,60820 Payroll Taxes,CS,Customer Support,EXPENSES,4600
254,2022-10-31,60830,60830 Health Insurance,CS,Customer Support,EXPENSES,5750
255,2022-10-31,60840,60840 Payroll Processing Fees,CS,Customer Support,EXPENSES,1438
256,2022-10-31,40200,40200 Product Revenue,G&A,General & Administrative,REVENUE,92500
257,2022-10-31,40100,40100 SaaS Revenue,G&A,General & Administrative,REVENUE,250000
258,2022-10-31,50210,50210 Product Costs,G&A,General & Administrative,EXPENSES,55000
259,2022-10-31,50100,50100 Web Domain & Hosting Fees,G&A,General & Administrative,EXPENSES,12500
260,2022-10-31,50200,50200 Merchant Account Fees,G&A,General & Administrative,EXPENSES,13700
261,2022-10-31,60100,60100 Advertising & Marketing,G&A,General & Administrative,EXPENSES,28700
262,2022-10-31,60400,60400 Dues & Subscriptions,G&A,General & Administrative,EXPENSES,3700
263,2022-10-31,60500,60500 Insurance,G&A,General & Administrative,EXPENSES,4700
264,2022-10-31,60620,60620 Rent & Lease,G&A,General & Administrative,EXPENSES,15500
265,2022-10-31,60630,60630 Utilities,G&A,General & Administrative,EXPENSES,2800
266,2022-10-31,60810,60810 Salary & Wages,G&A,General & Administrative,EXPENSES,26000
267,2022-10-31,60820,60820 Payroll Taxes,G&A,General & Administrative,EXPENSES,2080
268,2022-10-31,60830,60830 Health Insurance,G&A,General & Administrative,EXPENSES,2600
269,2022-10-31,60840,60840 Payroll Processing Fees,G&A,General & Administrative,EXPENSES,650
270,2022-10-31,60850,60850 Commissions Expense,G&A,General & Administrative,EXPENSES,31500
271,2022-10-31,60710,60710 Accounting Fees,G&A,General & Administrative,EXPENSES,4650
272,2022-10-31,60720,60720 Consulting Fees,G&A,General & Administrative,EXPENSES,8000
273,2022-10-31,60730,60730 Legal Fees,G&A,General & Administrative,EXPENSES,5200
274,2022-10-31,60740,60740 Recruiting Fees,G&A,General & Administrative,EXPENSES,7800
275,2022-10-31,70100,70100 Interest Income,G&A,General & Administrative,REVENUE,1600
276,2022-10-31,80100,80100 Depreciation Expense,G&A,General & Administrative,EXPENSES,1600
277,2022-10-31,80200,80200 Interest Expense,G&A,General & Administrative,EXPENSES,2600
278,2022-10-31,60400,60400 Dues & Subscriptions,R&D,Research & Development,EXPENSES,1000
279,2022-10-31,60810,60810 Salary & Wages,R&D,Research & Development,EXPENSES,87500
280,2022-10-31,60820,60820 Payroll Taxes,R&D,Research & Development,EXPENSES,7000
281,2022-10-31,60830,60830 Health Insurance,R&D,Research & Development,EXPENSES,8750
282,2022-10-31,60840,60840 Payroll Processing Fees,R&D,Research & Development,EXPENSES,2188
283,2022-10-31,60100,60100 Advertising & Marketing,S&M,Sales & Marketing,EXPENSES,24000
284,2022-10-31,60810,60810 Salary & Wages,S&M,Sales & Marketing,EXPENSES,68000
285,2022-10-31,60820,60820 Payroll Taxes,S&M,Sales & Marketing,EXPENSES,5440
286,2022-10-31,60830,60830 Health Insurance,S&M,Sales & Marketing,EXPENSES,6800
287,2022-10-31,60840,60840 Payroll Processing Fees,S&M,Sales & Marketing,EXPENSES,1700
288,2022-10-31,61010,61010 Lodging,S&M,Sales & Marketing,EXPENSES,2000
289,2022-10-31,61020,61020 Meals & Entertainment,S&M,Sales & Marketing,EXPENSES,500
290,2022-10-31,61030,61030 Travel,S&M,Sales & Marketing,EXPENSES,1000
291,2022-11-30,60810,60810 Salary & Wages,CS,Customer Support,EXPENSES,57500
292,2022-11-30,60820,60820 Payroll Taxes,CS,Customer Support,EXPENSES,4600
293,2022-11-30,60830,60830 Health Insurance,CS,Customer Support,EXPENSES,5750
294,2022-11-30,60840,60840 Payroll Processing Fees,CS,Customer Support,EXPENSES,1438
295,2022-11-30,40200,40200 Product Revenue,G&A,General & Administrative,REVENUE,95000
296,2022-11-30,40100,40100 SaaS Revenue,G&A,General & Administrative,REVENUE,275000
297,2022-11-30,50210,50210 Product Costs,G&A,General & Administrative,EXPENSES,55000
298,2022-11-30,50100,50100 Web Domain & Hosting Fees,G&A,General & Administrative,EXPENSES,13750
299,2022-11-30,50200,50200 Merchant Account Fees,G&A,General & Administrative,EXPENSES,14800
300,2022-11-30,60100,60100 Advertising & Marketing,G&A,General & Administrative,EXPENSES,33500
301,2022-11-30,60400,60400 Dues & Subscriptions,G&A,General & Administrative,EXPENSES,3700
302,2022-11-30,60500,60500 Insurance,G&A,General & Administrative,EXPENSES,4700
303,2022-11-30,60620,60620 Rent & Lease,G&A,General & Administrative,EXPENSES,15500
304,2022-11-30,60630,60630 Utilities,G&A,General & Administrative,EXPENSES,2900
305,2022-11-30,60810,60810 Salary & Wages,G&A,General & Administrative,EXPENSES,26000
306,2022-11-30,60820,60820 Payroll Taxes,G&A,General & Administrative,EXPENSES,2080
307,2022-11-30,60830,60830 Health Insurance,G&A,General & Administrative,EXPENSES,2600
308,2022-11-30,60840,60840 Payroll Processing Fees,G&A,General & Administrative,EXPENSES,650
309,2022-11-30,60850,60850 Commissions Expense,G&A,General & Administrative,EXPENSES,33500
310,2022-11-30,60710,60710 Accounting Fees,G&A,General & Administrative,EXPENSES,4650
311,2022-11-30,60720,60720 Consulting Fees,G&A,General & Administrative,EXPENSES,8000
312,2022-11-30,60730,60730 Legal Fees,G&A,General & Administrative,EXPENSES,5200
313,2022-11-30,60740,60740 Recruiting Fees,G&A,General & Administrative,EXPENSES,7800
314,2022-11-30,70100,70100 Interest Income,G&A,General & Administrative,REVENUE,1600
